,prev_moves,last_move_fill
0,d4,d4
1,d4,d5
2,d4 d5,c4
3,d4 d5 c4,c6
4,d4 d5 c4 c6,cxd5
5,d4 d5 c4 c6 cxd5,e6
6,d4 d5 c4 c6 cxd5 e6,dxe6
7,d4 d5 c4 c6 cxd5 e6 dxe6,fxe6
8,d4 d5 c4 c6 cxd5 e6 dxe6 fxe6,Nf3
9,d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3,Bb4+
10,d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+,Nc3
11,d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3,Ba5
12,d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3 Ba5,Bf4
13,d4,Nc6
14,d4 Nc6,e4
15,d4 Nc6 e4,e5
16,d4 Nc6 e4 e5,f4
17,d4 Nc6 e4 e5 f4,f6
18,d4 Nc6 e4 e5 f4 f6,dxe5
19,d4 Nc6 e4 e5 f4 f6 dxe5,fxe5
20,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5,fxe5
21,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5,Nxe5
22,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5,Qd4
23,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5 Qd4,Nc6
24,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5 Qd4 Nc6,Qe5+
25,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5 Qd4 Nc6 Qe5+,Nxe5
26,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5 Qd4 Nc6 Qe5+ Nxe5,c4
27,d4 Nc6 e4 e5 f4 f6 dxe5 fxe5 fxe5 Nxe5 Qd4 Nc6 Qe5+ Nxe5 c4,Bb4+
28,e4,e4
29,e4,e5
30,e4 e5,d3
31,e4 e5 d3,d6
32,e4 e5 d3 d6,Be3
33,e4 e5 d3 d6 Be3,c6
34,e4 e5 d3 d6 Be3 c6,Be2
35,e4 e5 d3 d6 Be3 c6 Be2,b5
36,e4 e5 d3 d6 Be3 c6 Be2 b5,Nd2
37,e4 e5 d3 d6 Be3 c6 Be2 b5 Nd2,a5
38,e4 e5 d3 d6 Be3 c6 Be2 b5 Nd2 a5,a4
39,e4 e5 d3 d6 Be3 c6 Be2 b5 Nd2 a5 a4,c5
40,e4 e5 d3 d6 Be3 c6 Be2 b5 Nd2 a5 a4 c5,axb5
